Tool, Runtime
RefactoringMiner 2.0, 22
RefactoringMiner 2.0, 20
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 2
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 12
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 22
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 134
RefactoringMiner 2.0, 16
RefactoringMiner 2.0, 61
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 25
RefactoringMiner 2.0, 31
RefactoringMiner 2.0, 26
RefactoringMiner 2.0, 384
RefactoringMiner 2.0, 22
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 3
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 2108
RefactoringMiner 2.0, 83
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 18
RefactoringMiner 2.0, 242
RefactoringMiner 2.0, 200
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 613
RefactoringMiner 2.0, 37
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 33
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 46
RefactoringMiner 2.0, 6
RefactoringMiner 2.0, 11
RefactoringMiner 2.0, 14
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 27
RefactoringMiner 2.0, 4091
RefactoringMiner 2.0, 62
RefactoringMiner 2.0, 15
RefactoringMiner 2.0, 40
RefactoringMiner 2.0, 4016
RefactoringMiner 2.0, 35
RefactoringMiner 2.0, 35
RefactoringMiner 2.0, 72
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 166
RefactoringMiner 2.0, 25
RefactoringMiner 2.0, 7
RefactoringMiner 2.0, 152
RefactoringMiner 2.0, 201
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 12
RefactoringMiner 2.0, 66
RefactoringMiner 2.0, 1
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 13
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 5
RefactoringMiner 2.0, 52
RefactoringMiner 2.0, 9
RefactoringMiner 2.0, 766
RefactoringMiner 2.0, 39
RefactoringMiner 2.0, 189
RefactoringMiner 2.0, 183
RefactoringMiner 2.0, 185
RefactoringMiner 2.0, 191
RefactoringMiner 2.0, 182
RefactoringMiner 2.0, 197
RefactoringMiner 2.0, 191
RefactoringMiner 2.0, 279
RefactoringMiner 2.0, 199
RefactoringMiner 2.0, 209
RefactoringMiner 2.0, 206
RefactoringMiner 2.0, 196
RefactoringMiner 2.0, 242
RefactoringMiner 2.0, 227
RefactoringMiner 2.0, 193
RefactoringMiner 2.0, 210
RefactoringMiner 2.0, 195
RefactoringMiner 2.0, 223
RefactoringMiner 2.0, 218
RefactoringMiner 2.0, 203
RefactoringMiner 2.0, 213
RefactoringMiner 2.0, 185
RefactoringMiner 2.0, 238
RefactoringMiner 2.0, 220
RefactoringMiner 2.0, 182
RefactoringMiner 2.0, 194
RefactoringMiner 2.0, 190
RefactoringMiner 2.0, 185
RefactoringMiner 2.0, 252
RefactoringMiner 2.0, 253
RefactoringMiner 2.0, 196
RefactoringMiner 2.0, 249
RefactoringMiner 2.0, 209
RefactoringMiner 2.0, 249
RefactoringMiner 2.0, 188
RefactoringMiner 2.0, 199
RefactoringMiner 2.0, 203
RefactoringMiner 2.0, 28
RefactoringMiner 2.0, 68
