Tool, Runtime
RefDiff 2.0, 325
RefDiff 2.0, 80
RefDiff 2.0, 117
RefDiff 2.0, 109
RefDiff 2.0, 90
RefDiff 2.0, 111
RefDiff 2.0, 134
RefDiff 2.0, 50
RefDiff 2.0, 124
RefDiff 2.0, 49
RefDiff 2.0, 188
RefDiff 2.0, 162
RefDiff 2.0, 102
RefDiff 2.0, 242
RefDiff 2.0, 47
RefDiff 2.0, 196
RefDiff 2.0, 187
RefDiff 2.0, 33
RefDiff 2.0, 104
RefDiff 2.0, 79
RefDiff 2.0, 47
RefDiff 2.0, 313
RefDiff 2.0, 263
RefDiff 2.0, 53
RefDiff 2.0, 259
RefDiff 2.0, 99
RefDiff 2.0, 249
RefDiff 2.0, 118
RefDiff 2.0, 128
RefDiff 2.0, 101
RefDiff 2.0, 86
RefDiff 2.0, 331
RefDiff 2.0, 1524
RefDiff 2.0, 146
RefDiff 2.0, 131
RefDiff 2.0, 97
RefDiff 2.0, 93
RefDiff 2.0, 44
RefDiff 2.0, 319
RefDiff 2.0, 55
RefDiff 2.0, 56
RefDiff 2.0, 132
RefDiff 2.0, 64
RefDiff 2.0, 77
RefDiff 2.0, 114
RefDiff 2.0, 65
RefDiff 2.0, 172
RefDiff 2.0, 194
RefDiff 2.0, 57
RefDiff 2.0, 99
RefDiff 2.0, 77
RefDiff 2.0, 211
RefDiff 2.0, 63
RefDiff 2.0, 241
RefDiff 2.0, 90
RefDiff 2.0, 373
RefDiff 2.0, 57
RefDiff 2.0, 99
RefDiff 2.0, 35
RefDiff 2.0, 118
RefDiff 2.0, 60
RefDiff 2.0, 44
RefDiff 2.0, 136
RefDiff 2.0, 123
RefDiff 2.0, 217
RefDiff 2.0, 84
RefDiff 2.0, 137
RefDiff 2.0, 44
RefDiff 2.0, 124
RefDiff 2.0, 145
RefDiff 2.0, 35
RefDiff 2.0, 51
RefDiff 2.0, 55
RefDiff 2.0, 74
RefDiff 2.0, 191
RefDiff 2.0, 44
RefDiff 2.0, 45
RefDiff 2.0, 70
RefDiff 2.0, 145
RefDiff 2.0, 76
RefDiff 2.0, 50
RefDiff 2.0, 52
RefDiff 2.0, 85
RefDiff 2.0, 131
RefDiff 2.0, 56
RefDiff 2.0, 62
RefDiff 2.0, 90
RefDiff 2.0, 74
RefDiff 2.0, 5724
RefDiff 2.0, 281
RefDiff 2.0, 101
RefDiff 2.0, 525
RefDiff 2.0, 513
RefDiff 2.0, 586
RefDiff 2.0, 437
RefDiff 2.0, 68
RefDiff 2.0, 178
RefDiff 2.0, 79
RefDiff 2.0, 56
RefDiff 2.0, 223
RefDiff 2.0, 226
RefDiff 2.0, 1760
RefDiff 2.0, 239
RefDiff 2.0, 1584
RefDiff 2.0, 216
RefDiff 2.0, 1612
RefDiff 2.0, 191
RefDiff 2.0, 329
RefDiff 2.0, 224
RefDiff 2.0, 66
RefDiff 2.0, 413
RefDiff 2.0, 79
RefDiff 2.0, 98
RefDiff 2.0, 188
RefDiff 2.0, 57
RefDiff 2.0, 91
RefDiff 2.0, 157
RefDiff 2.0, 159
RefDiff 2.0, 54
RefDiff 2.0, 33
RefDiff 2.0, 86
RefDiff 2.0, 299
RefDiff 2.0, 51
RefDiff 2.0, 160
RefDiff 2.0, 120
RefDiff 2.0, 461
RefDiff 2.0, 1951
RefDiff 2.0, 50
RefDiff 2.0, 68
RefDiff 2.0, 47
RefDiff 2.0, 98
RefDiff 2.0, 39
RefDiff 2.0, 112
RefDiff 2.0, 88
RefDiff 2.0, 88
RefDiff 2.0, 166
RefDiff 2.0, 418
RefDiff 2.0, 44
RefDiff 2.0, 59
RefDiff 2.0, 481
RefDiff 2.0, 42
RefDiff 2.0, 259
RefDiff 2.0, 389
RefDiff 2.0, 183
RefDiff 2.0, 75
RefDiff 2.0, 87
RefDiff 2.0, 5320
RefDiff 2.0, 375
RefDiff 2.0, 132
RefDiff 2.0, 649
RefDiff 2.0, 578
RefDiff 2.0, 662
RefDiff 2.0, 471
RefDiff 2.0, 91
RefDiff 2.0, 209
RefDiff 2.0, 83
RefDiff 2.0, 70
RefDiff 2.0, 388
RefDiff 2.0, 314
RefDiff 2.0, 2498
RefDiff 2.0, 330
RefDiff 2.0, 2173
RefDiff 2.0, 254
RefDiff 2.0, 2073
RefDiff 2.0, 192
RefDiff 2.0, 399
RefDiff 2.0, 271
RefDiff 2.0, 78
RefDiff 2.0, 426
RefDiff 2.0, 74
RefDiff 2.0, 125
RefDiff 2.0, 216
RefDiff 2.0, 77
RefDiff 2.0, 111
RefDiff 2.0, 148
RefDiff 2.0, 181
RefDiff 2.0, 72
RefDiff 2.0, 41
RefDiff 2.0, 104
RefDiff 2.0, 307
RefDiff 2.0, 61
RefDiff 2.0, 168
RefDiff 2.0, 109
RefDiff 2.0, 490
RefDiff 2.0, 2242
RefDiff 2.0, 88
RefDiff 2.0, 90
RefDiff 2.0, 62
RefDiff 2.0, 130
RefDiff 2.0, 47
RefDiff 2.0, 147
RefDiff 2.0, 102
RefDiff 2.0, 94
RefDiff 2.0, 169
RefDiff 2.0, 374
RefDiff 2.0, 62
RefDiff 2.0, 72
RefDiff 2.0, 496
RefDiff 2.0, 63
RefDiff 2.0, 315
RefDiff 2.0, 463
RefDiff 2.0, 220
RefDiff 2.0, 76
RefDiff 2.0, 75
RefDiff 2.0, 146
RefDiff 2.0, 2112
RefDiff 2.0, 90
RefDiff 2.0, 139
RefDiff 2.0, 176
RefDiff 2.0, 4312
RefDiff 2.0, 378
RefDiff 2.0, 644
RefDiff 2.0, 307
RefDiff 2.0, 1602
RefDiff 2.0, 152
RefDiff 2.0, 161
RefDiff 2.0, 214
RefDiff 2.0, 677
RefDiff 2.0, 247
RefDiff 2.0, 366
RefDiff 2.0, 68
RefDiff 2.0, 136
RefDiff 2.0, 314
RefDiff 2.0, 35
RefDiff 2.0, 90
RefDiff 2.0, 548
RefDiff 2.0, 1723
RefDiff 2.0, 144
RefDiff 2.0, 100
RefDiff 2.0, 62
RefDiff 2.0, 148
RefDiff 2.0, 170
RefDiff 2.0, 123
RefDiff 2.0, 136
RefDiff 2.0, 78
RefDiff 2.0, 178
RefDiff 2.0, 111
RefDiff 2.0, 920
RefDiff 2.0, 106
RefDiff 2.0, 1357
RefDiff 2.0, 64
RefDiff 2.0, 69
RefDiff 2.0, 209
RefDiff 2.0, 106
RefDiff 2.0, 859
RefDiff 2.0, 1170
RefDiff 2.0, 140
RefDiff 2.0, 131
RefDiff 2.0, 222
RefDiff 2.0, 134
RefDiff 2.0, 213
RefDiff 2.0, 99
RefDiff 2.0, 57
RefDiff 2.0, 101
RefDiff 2.0, 76
RefDiff 2.0, 515
RefDiff 2.0, 54
RefDiff 2.0, 264
RefDiff 2.0, 39
RefDiff 2.0, 47
RefDiff 2.0, 1606
RefDiff 2.0, 54
RefDiff 2.0, 37
RefDiff 2.0, 126
RefDiff 2.0, 67
RefDiff 2.0, 129
RefDiff 2.0, 586
RefDiff 2.0, 69
RefDiff 2.0, 68
RefDiff 2.0, 78
RefDiff 2.0, 267
RefDiff 2.0, 116
RefDiff 2.0, 108
RefDiff 2.0, 74
RefDiff 2.0, 43
RefDiff 2.0, 695
RefDiff 2.0, 55
RefDiff 2.0, 41
RefDiff 2.0, 100
RefDiff 2.0, 250
RefDiff 2.0, 63
RefDiff 2.0, 52
RefDiff 2.0, 49
RefDiff 2.0, 37
RefDiff 2.0, 51
RefDiff 2.0, 94
RefDiff 2.0, 444
RefDiff 2.0, 44
RefDiff 2.0, 2150
RefDiff 2.0, 2295
RefDiff 2.0, 508
RefDiff 2.0, 205
RefDiff 2.0, 341
RefDiff 2.0, 81
RefDiff 2.0, 383
RefDiff 2.0, 988
RefDiff 2.0, 74
RefDiff 2.0, 1765
RefDiff 2.0, 518
RefDiff 2.0, 257
RefDiff 2.0, 785
RefDiff 2.0, 455
RefDiff 2.0, 1157
RefDiff 2.0, 196
RefDiff 2.0, 104
RefDiff 2.0, 643
RefDiff 2.0, 57
RefDiff 2.0, 118
RefDiff 2.0, 44
RefDiff 2.0, 190
RefDiff 2.0, 131
RefDiff 2.0, 130
